"cc_saldo_atual","cc_saldo_medio","credit_card_limite","qtd_fin_imobiliario","qtd_mensal_cheques","qtd_pag_automovel","qtd_trans_atm","qtd_trans_kiosk","qtd_trans_teller","qtd_trans_web","retirada_mensal","valor_fin_imobiliario","valor_fundos_bancarios","classe_ltv","ltv","estado","estado_civil","idade","n_dependentes","profissao","proprietario_casa","proprietario_veiculo","regiao","salario","sexo","tem_filho","tem_seguro_imobiliario","tempo_cliente_anos","nome_sobrenome"
25,0,1000,0,3,655,3,1,2,0,53.26,0,600,"low",11920.5,"ca","single",21,3,"programmer/developer",0,1,"west",57282,"m",0,0,3,"duncan_brice"
13994,0,800,1,3,17340,6,0,4,5000,56.43,5000,32000,"high",27327.25,"ca","widowed",51,1,"prof-9",1,1,"west",68909,"f",1,1,4,"guevara_deidre"
570,0,3000,1,4,1101,4,0,5,1,53.7,5000,14001,"very high",32119.75,"ca","widowed",58,1,"law enforcement officer",1,1,"west",91279,"f",1,0,1,"bingham_marietta"
25,0,1000,0,0,0,0,1,0,0,53.06,0,0,"medium",15215.5,"nv","single",29,2,"nurse",0,0,"southwest",61262,"m",0,0,2,"lucas_chas"
25,0,1000,1,1,0,3,1,2,1107,53.21,1107,650,"high",23768.5,"ny","married",21,3,"fireman",1,1,"northeast",64674,"m",0,1,3,"crandall_benito"
11581,0,1000,0,8,11602,2,1,2,0,53.05,0,500,"medium",14297.5,"ny","single",20,3,"programmer/developer",0,1,"northeast",67190,"m",0,1,3,"montano_isaias"
45,0,1000,1,3,0,1,1,1,837,53.08,837,0,"high",22553.75,"ny","married",23,3,"dentist",1,1,"northeast",59015,"m",0,0,3,"liles_cedric"
620,0,1000,1,14,633,3,1,2,800,53.33,800,450,"medium",18491.5,"ny","married",29,3,"fireman",1,1,"northeast",58366,"m",1,0,4,"zapata_jermaine"
98,0,1000,0,7,106,2,1,2,0,53.05,0,500,"medium",15007.25,"ny","single",22,3,"programmer/developer",0,1,"northeast",69229,"m",0,0,3,"easley_amos"
25,0,1000,1,14,903,4,1,1,3500,53.48,3500,0,"high",23538.25,"ny","divorced",39,1,"it staff",1,1,"northeast",64553,"f",1,0,1,"waite_mirna"
294,0,1000,1,4,301,3,2,3,350,53.21,1750,1200,"high",27990.75,"ny","married",38,1,"construction laborer",1,1,"northeast",62763,"f",0,0,1,"koenig_akilah"
735,24,1000,0,2,860,2,1,2,0,53.15,0,650,"low",12471.5,"ny","single",22,3,"programmer/developer",0,1,"northeast",59086,"m",0,1,3,"nixon_raleigh"
25,0,1000,1,0,0,0,1,1,2300,53.06,2300,0,"high",28495,"fl","divorced",25,1,"truck driver",1,1,"south",69980,"m",0,0,1,"holloway_simon"
42,0,1000,1,2,1029,2,1,1,450,53.17,2500,2250,"high",26451.75,"ny","divorced",65,5,"prof-45",1,1,"northeast",69807,"f",0,1,5,"lilly_thersa"
46,0,1000,1,16,195,2,2,3,300,53.12,300,750,"high",23891.75,"mn","single",25,3,"programmer/developer",1,1,"west",63567,"m",0,1,3,"reaves_nigel"
25,0,1000,1,4,683,2,1,3,200,53.03,800,1200,"medium",17442,"ny","married",21,5,"programmer/developer",1,1,"northeast",71368,"f",1,0,5,"kimble_samara"
154,0,1000,1,14,273,5,1,2,250,54.5,250,540,"high",23622.5,"ny","single",23,3,"programmer/developer",1,1,"northeast",63290,"m",0,1,3,"napier_calvin"
5642,0,3000,1,4,5662,3,1,2,500,53.31,4750,2700,"medium",20265.25,"ny","divorced",31,1,"technical writer",1,1,"northeast",54661,"f",1,0,1,"velasquez_matilda"
7170,92734,1500,1,17,100578,5,1,4,3824,54.55,3000,7648,"high",26789.25,"mi","divorced",78,1,"it staff",1,1,"midwest",55957,"f",1,0,4,"coburn_rachell"
25,0,1000,1,11,0,3,2,1,700,53.21,700,201,"medium",17981.75,"ca","married",27,3,"prof-4",1,1,"west",59127,"m",1,0,3,"harmon_otto"
149,0,1500,1,2,343,5,1,2,1369,54.26,1369,1050,"high",24841.75,"ms","married",55,3,"prof-3",1,1,"south",55367,"m",0,0,3,"huynh_russell"
25,0,1000,0,15,135,3,2,2,0,53.28,0,500,"medium",16170.5,"ca","single",23,1,"programmer/developer",0,1,"west",61482,"m",0,1,1,"castellanos_raleigh"
40,0,1000,1,2,0,2,1,1,512,53.12,512,0,"medium",19828.25,"ca","single",23,3,"waiter/waitress",1,1,"west",68113,"m",1,0,3,"parsons_hershel"
140,0,700,1,4,152,2,1,2,1350,53.1,1350,400,"high",29291.25,"mi","married",41,1,"prof-7",1,1,"midwest",66765,"f",0,0,1,"butcher_alison"
25,0,1500,1,0,0,2,1,1,2700,53.1,2700,0,"high",27642.25,"mn","divorced",46,4,"prof-39",1,1,"west",76169,"f",0,0,4,"broussard_marceline"
25,0,1500,1,17,293,5,1,3,300,53.96,2200,1500,"high",27131.5,"ny","divorced",35,1,"prof-1",1,1,"northeast",60526,"f",0,1,1,"dube_piper"
25,0,600,1,7,137,3,3,2,700,53.2,700,250,"high",29670.25,"ca","married",42,1,"administrative assistant",1,1,"west",67881,"f",0,1,1,"burr_gita"
25,0,1000,0,8,935,2,1,2,0,53.02,0,550,"low",10745.5,"ca","single",29,3,"programmer/developer",0,1,"west",69382,"m",1,0,3,"coyle_raymundo"
25,0,1000,1,17,292,4,1,1,300,53.5,300,700,"high",24101,"nc","single",24,3,"programmer/developer",1,1,"south",64804,"m",0,1,3,"parrish_emory"
30,0,1000,0,4,130,3,6,2,0,53.23,0,500,"medium",15453,"ny","single",20,3,"programmer/developer",0,1,"northeast",71812,"m",0,1,3,"trevino_lyle"
25,0,1000,1,2,1156,6,1,1,2500,56.98,2500,3500,"high",22323.5,"ms","divorced",22,1,"waiter/waitress",1,1,"south",64494,"m",1,1,2,"crisp_jaime"
25,0,700,1,3,0,5,9,0,827,54.26,827,0,"high",25339.5,"ca","married",34,3,"prof-4",1,1,"west",65758,"m",0,0,3,"cash_willy"
25,0,1500,1,2,2538,4,1,1,600,53.41,2144,4600,"high",24949.5,"ny","divorced",39,1,"prof-32",1,1,"northeast",70198,"f",1,1,1,"small_magan"
25,0,1000,1,0,0,0,1,0,350,53.06,350,0,"high",22561.75,"ny","single",19,3,"fireman",1,1,"northeast",60647,"m",0,0,3,"burgos_rex"
25,0,900,2,1,713,1,0,1,1500,53.08,1500,0,"very high",37276.75,"ms","married",30,1,"prof-8",2,1,"south",63107,"m",0,0,1,"lemon_greg"
25,0,600,2,6,593,4,1,3,850,53.81,850,870,"very high",30632.5,"ny","married",34,3,"prof-11",2,1,"northeast",66930,"m",1,1,3,"manning_dario"
25,0,1000,0,2,0,1,1,1,0,53.07,0,0,"medium",15299.75,"ca","single",21,3,"programmer/developer",0,0,"west",70799,"m",0,0,3,"unger_osvaldo"
25,0,2500,0,4,704,5,1,0,0,54.7,0,0,"medium",20592.5,"dc","single",37,3,"school teacher",0,1,"northeast",85570,"m",0,0,3,"parrott_aaron"
25,0,2500,1,0,0,0,1,0,300,53.06,300,0,"high",23652.25,"ny","single",23,5,"first-line manager",1,1,"northeast",75409,"f",0,0,5,"atkinson_gabriele"
3181,0,1000,1,13,3648,4,3,2,700,53.41,700,450,"high",25288.25,"dc","married",26,3,"prof-40",1,1,"northeast",68753,"m",0,0,3,"oconnor_benedict"
111,0,1500,1,2,1539,4,2,1,300,53.41,2100,1900,"medium",17614.25,"ny","divorced",32,3,"bank teller",1,1,"northeast",55657,"m",1,1,3,"forbes_jospeh"
305,0,1500,1,2,1520,4,1,3,250,53.53,1200,900,"high",25743.25,"ny","married",42,1,"it staff",1,1,"northeast",72173,"f",1,0,1,"jones_piedad"
25,0,1000,1,11,442,5,1,3,1100,54.53,1100,850,"medium",21334.25,"ny","married",34,3,"lab technician",1,1,"northeast",69737,"m",1,1,3,"edmondson_jarvis"
456,0,1000,1,2,467,2,1,1,1000,53.12,1000,201,"high",24395.75,"mi","married",53,1,"author",1,1,"midwest",62383,"m",1,0,1,"mclain_robt"
25,0,600,0,1,0,0,1,0,0,53.06,0,0,"medium",21183.75,"ny","single",47,0,"construction laborer",0,0,"northeast",61935,"m",0,0,2,"doty_elbert"
25,0,1000,1,1,331,1,1,0,400,53.07,400,0,"high",26638.5,"nc","single",30,1,"construction laborer",1,1,"south",60554,"m",0,0,1,"mack_darwin"
25,0,600,0,6,0,2,1,1,0,53.02,0,250,"medium",16155.5,"ca","single",42,3,"programmer/developer",0,0,"west",65822,"m",0,1,3,"best_dustin"
25,0,1000,0,1,0,3,3,2,0,53.34,0,500,"low",9869.75,"ny","single",22,3,"programmer/developer",0,0,"northeast",68679,"m",1,0,3,"wilhelm_dallas"
25,0,600,1,3,215,4,1,2,700,53.5,700,500,"high",23823,"mi","married",43,1,"first-line manager",1,1,"midwest",64092,"f",1,1,1,"ruff_taneka"
25,0,2000,1,4,1364,4,1,1,550,53.45,3737,2950,"high",24318.25,"il","divorced",42,1,"cashier",1,1,"midwest",66473,"m",1,0,1,"bolton_eldridge"
25,0,1000,1,3,0,1,1,1,250,53.09,250,0,"medium",18273,"nc","single",19,3,"programmer/developer",1,1,"south",63492,"m",1,0,3,"rubio_abel"
25,0,1000,0,2,136,3,3,2,0,53.19,0,500,"low",9060.75,"ny","single",21,3,"programmer/developer",0,1,"northeast",65843,"m",1,1,3,"mcguire_trevor"
25,0,3500,1,0,0,0,1,1,4663,53.06,4663,0,"very high",31892.75,"la","divorced",39,1,"veterinarian",1,1,"south",77971,"f",0,0,1,"stewart_ilana"
25,0,1000,1,0,0,2,1,1,620,53.17,620,0,"high",23277,"ny","single",23,3,"programmer/developer",1,1,"northeast",61908,"m",0,0,3,"key_rodney"
1476,0,1000,1,3,1499,4,1,3,300,53.61,3000,1600,"medium",21773,"mi","divorced",31,1,"prof-14",1,1,"midwest",60692,"f",1,0,1,"grove_maegan"
25,0,700,1,12,211,3,1,3,1000,53.24,1000,700,"high",25881.5,"ny","married",36,3,"programmer/developer",1,1,"northeast",67126,"m",0,1,3,"stark_grady"
2489,0,700,1,13,2650,2,1,3,400,53.13,400,750,"high",27829,"ca","single",53,2,"programmer/developer",1,1,"west",62116,"m",0,0,2,"doyle_ethan"
25,0,1000,0,0,0,0,1,1,0,53.06,0,0,"medium",18845.5,"fl","single",27,1,"programmer/developer",0,0,"south",70582,"m",0,0,1,"hager_forest"
25,0,1500,1,9,241,4,1,1,1900,53.67,1900,0,"medium",20247,"ny","divorced",25,3,"truck driver",1,1,"northeast",68988,"m",1,0,3,"malloy_marquis"
25,0,700,0,4,1745,4,2,2,2662,53.82,0,7662,"medium",19553,"mi","single",53,1,"truck driver",0,1,"midwest",63012,"m",0,0,1,"elmore_terence"
25,0,600,1,8,480,5,2,2,845,54.08,845,500,"high",26187.5,"nc","married",37,3,"sales representative",1,1,"south",65950,"m",0,1,4,"lynch_freeman"
25,0,2000,1,1,1052,2,1,1,3500,32.16,3500,0,"high",27109.25,"mi","divorced",58,1,"it staff",1,1,"midwest",71237,"f",1,0,1,"radford_vikki"
25,0,1300,0,1,517,1,1,0,0,53.07,0,0,"low",0,"nv","single",0,0,"prof-24",0,1,"southwest",72725,"m",0,0,2,"allison_faustino"
25,0,1500,1,15,168,3,2,2,1000,53.28,1000,450,"high",26004,"ny","married",22,3,"sales representative",1,1,"northeast",73216,"m",0,1,3,"lemons_boyce"
25,0,1500,0,0,0,0,1,0,0,53.06,0,0,"medium",18180.75,"mi","single",19,0,"administrative assistant",0,0,"midwest",61123,"m",0,0,2,"green_caleb"
25,0,1500,0,4,145,2,1,2,0,53.03,0,500,"low",11729.75,"oh","single",27,3,"programmer/developer",0,1,"midwest",74119,"m",1,1,3,"mccray_raymond"
270,0,2500,1,9,313,4,1,1,450,53.82,3000,1850,"high",22183,"ok","divorced",24,3,"prof-18",1,1,"midwest",57132,"m",0,0,3,"vernon_alva"
25,0,2500,0,0,1632,3,1,0,0,53.33,0,0,"medium",17621,"mi","single",70,2,"prof-2",0,1,"midwest",54484,"m",0,0,2,"arnold_leif"
25,0,2500,1,1,0,1,1,0,360,53.07,360,0,"high",26688.75,"mi","single",47,3,"prof-27",1,1,"midwest",65955,"m",0,0,3,"wagoner_roderick"
25,0,1000,1,0,0,1,1,0,224,53.07,224,0,"high",23914.75,"mi","single",30,3,"prof-22",1,1,"midwest",61659,"m",0,0,3,"bean_booker"
25,0,5000,1,4,3327,6,1,4,10000,56.41,10000,7300,"very high",32192.5,"mi","widowed",68,1,"not specified",1,1,"midwest",67570,"f",0,1,1,"parsons_shari"
29,0,1000,0,3,0,1,1,2,0,53.07,0,250,"low",13986.5,"fl","single",23,3,"programmer/developer",0,0,"south",64746,"m",0,0,3,"ventura_wilburn"
25,0,700,0,14,161,2,1,3,0,53.02,0,750,"medium",18810.5,"ny","single",32,1,"programmer/developer",0,1,"northeast",68442,"f",0,0,1,"adams_dorethea"
349,0,1000,1,12,365,2,1,3,1910,53.1,1910,1250,"high",27132.25,"mi","divorced",33,1,"prof-7",1,1,"midwest",61329,"f",0,0,1,"jacobs_samatha"
236,0,1300,1,4,748,3,0,1,3000,53.22,3000,0,"high",22348.75,"ny","divorced",38,1,"it staff",1,1,"northeast",60195,"f",1,0,1,"hogue_rosamond"
127,1025,1000,0,4,1850,2,1,3,0,53,0,750,"low",11131.5,"ny","single",29,3,"programmer/developer",0,1,"northeast",70926,"m",1,0,3,"franks_emile"
25,0,700,0,1,0,1,1,0,0,53.07,0,0,"medium",19475.5,"ny","single",32,0,"programmer/developer",0,0,"northeast",61102,"m",0,0,2,"prado_truman"
25,0,1000,0,0,0,0,1,1,0,53.06,0,0,"medium",14415.5,"mi","single",28,3,"programmer/developer",0,0,"midwest",64462,"m",0,0,3,"blair_wyatt"
25,0,1000,0,4,202,4,1,2,0,53.69,0,500,"low",12566.75,"ny","single",21,3,"programmer/developer",0,1,"northeast",59867,"m",0,1,3,"payne_freddy"
25,0,1500,2,10,249,3,1,3,2728,53.33,2728,1750,"very high",30972.5,"wa","divorced",52,5,"prof-39",2,1,"west",73090,"f",1,0,5,"addison_daryl"
25,0,1000,0,4,0,2,1,2,0,53.05,0,250,"medium",15552.25,"fl","single",21,3,"programmer/developer",0,0,"south",71809,"m",0,0,3,"foss_brandon"
1001,0,1000,1,4,1016,3,1,1,530,53.18,530,0,"high",23481.5,"ny","single",28,3,"mason",1,1,"northeast",60726,"m",0,0,3,"perry_matt"
25,0,1500,1,3,993,5,1,3,2680,54.41,2680,1200,"high",28997.25,"mn","divorced",38,1,"childcare worker",1,1,"west",66789,"m",0,1,1,"feliciano_johnny"
25,0,3000,1,7,1821,5,1,4,1500,55.11,4500,7000,"medium",21562.25,"ca","divorced",39,1,"prof-1",1,1,"west",56649,"f",1,1,1,"goldsmith_chrystal"
25,0,1500,1,4,0,3,1,2,350,53.34,350,500,"medium",21928.75,"mn","single",27,3,"programmer/developer",1,1,"west",54915,"m",0,1,3,"parsons_burton"
25,0,1000,1,4,1247,5,1,1,400,54.42,2000,2330,"high",24570.75,"fl","divorced",33,1,"it staff",1,1,"south",71083,"f",1,1,1,"starnes_rebekah"
25,0,1000,1,2,12344,6,3,1,1000,55.75,1483,3200,"high",27023.5,"ny","married",29,1,"clerical",1,1,"northeast",62494,"m",0,0,1,"marino_dario"
25,0,600,1,0,0,0,1,0,550,53.06,550,0,"high",25827,"ny","single",53,3,"administrative assistant",1,1,"northeast",60108,"m",0,0,3,"cherry_miquel"
25,0,5000,1,0,0,7,1,2,300,68.2,10000,301,"medium",19993,"ny","married",46,3,"prof-65",1,1,"northeast",37572,"f",0,0,4,"lozano_ashley"
884,0,600,1,15,895,3,1,2,750,53.35,750,500,"high",23347,"mi","married",48,1,"plumber",1,1,"midwest",60188,"m",1,0,1,"keys_sam"
25,0,1000,0,0,503,0,2,0,0,53.06,0,0,"medium",14039.5,"ny","single",31,3,"prof-5",0,1,"northeast",61758,"m",0,0,3,"hogue_robin"
25,0,1000,0,0,369,2,1,2,0,53.04,0,450,"low",10368.75,"ny","single",28,5,"programmer/developer",0,1,"northeast",60275,"f",0,1,5,"lambert_david"
25,0,1000,1,2,729,4,3,2,1700,53.77,1700,500,"high",26989,"ny","married",29,1,"prof-26",1,1,"northeast",62356,"f",0,0,1,"oleary_dimple"
25,0,1000,0,0,0,0,1,1,0,53.06,0,0,"low",12771.25,"mi","single",21,3,"programmer/developer",0,0,"midwest",60685,"m",0,0,3,"cain_clifton"
25,0,700,1,2,0,1,1,0,754,53.07,754,0,"high",27977.75,"ca","married",31,1,"cashier",1,1,"west",65511,"m",0,0,1,"mcgrath_leonardo"
25,0,1000,2,0,0,0,1,0,310,53.06,310,0,"very high",33032,"mi","single",30,3,"construction laborer",2,1,"midwest",58128,"m",0,0,3,"brock_willie"
458,0,1000,1,3,479,2,1,3,1100,53.1,1100,850,"high",28297.5,"ny","married",28,1,"fireman",1,1,"northeast",67990,"m",0,0,1,"estrada_abram"
300,0,1500,1,18,483,5,3,1,600,54.29,2229,1850,"medium",21039.25,"ca","divorced",32,3,"dentist",1,1,"west",69357,"m",1,1,3,"shipley_ward"
25,0,1500,2,1,2884,5,1,1,1000,54.26,1643,3200,"very high",41553,"ny","married",54,1,"truck driver",2,1,"northeast",70612,"f",0,1,1,"harper_cameron"
25,0,1000,1,9,0,2,1,2,1050,53.15,1050,500,"high",26212.5,"ca","married",28,3,"prof-18",1,1,"west",71650,"m",0,1,3,"bernstein_santos"
281,0,600,1,2,702,3,1,3,972,53.2,972,750,"high",25659.25,"ca","married",45,3,"medical doctor",1,1,"west",62637,"m",0,1,3,"groves_horacio"
673,0,700,1,3,688,2,3,2,670,53.16,670,350,"high",26875.75,"mi","married",37,1,"programmer/developer",1,1,"midwest",58703,"f",0,0,1,"beltran_maryrose"
25,0,700,1,0,0,2,1,0,369,53.05,369,0,"high",25031.5,"mi","single",32,3,"nurse",1,1,"midwest",65326,"m",0,0,3,"stout_rory"
25,0,1000,2,1,0,2,1,1,883,53.05,883,0,"very high",31266.75,"ny","married",30,1,"dentist",2,1,"northeast",59067,"f",1,0,1,"hudson_darline"
25,0,3500,1,0,0,0,1,0,5000,53.06,5000,0,"very high",35004,"or","married",43,1,"clerical",1,1,"west",88816,"f",0,0,1,"werner_vinita"
25,0,600,0,6,301,1,1,0,0,53.08,0,0,"medium",21885,"ca","single",44,0,"construction laborer",0,1,"west",65940,"m",0,0,2,"dempsey_edwardo"
25,0,1500,1,13,2591,4,1,2,1400,53.42,1400,500,"high",29880.75,"ny","married",28,1,"prof-1",1,1,"northeast",74323,"m",0,0,1,"clements_neil"
25,0,600,1,3,0,1,1,0,330,53.07,330,0,"high",27435.75,"ca","single",40,1,"nurse",1,1,"west",59743,"m",0,0,1,"meredith_wallace"
25,0,5000,1,9,809,3,1,1,1000,53.23,8000,3650,"high",27415.75,"mi","married",31,1,"it staff",1,1,"midwest",83263,"f",1,0,1,"whitman_ethelyn"
25,0,5000,1,0,0,0,1,1,7000,53.06,7000,0,"very high",32834,"dc","married",45,1,"cashier",1,1,"northeast",79336,"m",0,0,1,"buckner_javier"
25,0,1500,1,3,5409,4,1,3,1780,53.59,1780,1400,"high",22704.5,"mo","married",67,5,"prof-30",1,1,"midwest",74018,"f",1,0,5,"lofton_cristin"
25,0,600,1,2,959,2,10,2,746,53.01,746,450,"high",25082.25,"ny","married",61,1,"author",1,1,"northeast",61929,"f",1,0,1,"hagen_miranda"
170,0,1000,1,18,1159,3,1,2,1000,53.2,1000,450,"very high",31303.5,"ca","married",50,1,"truck driver",1,1,"west",71214,"f",0,0,1,"valenzuela_genny"
25,0,1500,1,2,166,3,1,3,250,53.22,1254,750,"high",22889.25,"ca","married",58,6,"author",1,1,"west",68357,"m",0,1,4,"crowe_leonardo"
25,0,1000,1,2,0,2,1,0,396,53.04,396,0,"high",25634.25,"ca","single",24,3,"prof-4",1,1,"west",70937,"m",0,0,3,"mitchell_dusty"
25,0,900,1,12,2975,6,0,1,3500,59.58,3500,3500,"high",24643.25,"ms","divorced",61,2,"it staff",1,1,"south",66173,"f",1,1,2,"daugherty_vasiliki"
25,0,1000,1,0,0,4,1,1,2873,53.84,2873,0,"high",27186.25,"ca","divorced",64,4,"prof-15",1,1,"west",67145,"f",0,0,4,"burroughs_phung"
25,0,700,1,1,101,2,1,0,259,53.12,259,0,"high",27087,"ny","single",36,1,"nurse",1,1,"northeast",59948,"m",0,0,1,"barrera_vern"
25,0,600,1,0,0,2,1,0,450,53.05,450,0,"high",24745.75,"ny","single",32,3,"construction laborer",1,1,"northeast",64183,"m",0,0,3,"mcmillan_wallace"
25,0,600,0,0,314,2,1,0,0,53.04,0,0,"medium",20929,"ny","single",37,0,"sales representative",0,1,"northeast",64916,"m",0,0,2,"bouchard_sam"
4672,0,600,0,13,4682,4,1,0,0,53.48,0,0,"low",8424,"ca","single",31,3,"fireman",0,1,"west",59296,"m",1,0,3,"maloney_merrill"
25,0,1500,1,4,0,5,1,1,2000,54.41,2000,0,"high",26166,"mi","divorced",43,1,"law enforcement officer",1,1,"midwest",73464,"f",1,0,1,"sweet_steven"
3714,0,2000,1,2,3793,4,3,1,600,53.83,4000,3200,"high",22296.25,"ny","divorced",34,1,"it staff",1,1,"northeast",61585,"m",1,0,1,"tharp_mervin"
25,0,1500,0,1,611,1,2,1,0,53.08,0,0,"medium",17272,"ca","single",60,3,"truck driver",0,1,"west",63088,"m",0,0,3,"sosa_gerald"
25,0,1500,1,1,0,0,1,0,358,53.06,358,0,"high",27042.5,"ny","single",24,3,"construction laborer",1,1,"northeast",76570,"m",0,0,3,"law_dominick"
25,0,1500,0,0,651,0,1,0,0,53.06,0,0,"low",0,"ny","single",0,0,"administrative assistant",0,1,"northeast",57542,"m",0,0,2,"ball_anibal"
25,0,1500,0,1,0,0,1,0,0,53.06,0,0,"medium",14422,"ca","single",23,3,"nurse",0,0,"west",66488,"m",0,0,3,"woody_trinidad"
25,0,1500,0,16,0,2,1,2,0,52.95,0,500,"medium",16508.25,"ny","single",22,3,"programmer/developer",0,0,"northeast",75233,"m",0,0,3,"gallegos_theodore"
1364,0,1500,1,3,1423,2,1,1,810,53.05,810,0,"high",26687.25,"nc","married",26,1,"prof-23",1,1,"south",62349,"m",0,0,1,"norman_alva"
25,0,2500,1,0,0,0,1,0,1200,53.06,1200,0,"high",22775,"oh","married",19,3,"prof-6",1,1,"midwest",61500,"m",0,0,3,"mcdermott_alonso"
7715,0,2500,1,0,20856,4,1,2,1400,53.43,11657,250,"very high",30031.25,"ca","married",50,3,"veterinarian",1,1,"west",78125,"m",0,0,3,"egan_cecil"
25,0,1500,0,0,0,0,1,0,0,53.06,0,0,"medium",15522.25,"ca","single",24,3,"programmer/developer",0,0,"west",70489,"m",0,0,3,"blackwell_ronald"
25,0,2500,1,1,372,1,1,0,700,53.08,700,0,"very high",35262.5,"nv","married",69,1,"prof-12",1,1,"southwest",79450,"f",0,0,1,"riddle_martine"
113,0,1000,1,2,135,4,2,2,1000,53.42,1000,400,"high",22969.5,"mi","married",21,3,"sales representative",1,1,"midwest",61478,"m",0,1,3,"doran_lucas"
25,0,1000,0,4,0,4,1,2,0,53.43,0,600,"low",13291,"ca","single",24,3,"programmer/developer",0,0,"west",61564,"m",0,1,3,"espinosa_lance"
25,0,1500,1,4,281,4,1,1,1200,53.61,1200,0,"high",22373.25,"mi","married",50,1,"lab technician",1,1,"midwest",55493,"f",1,0,1,"doty_danika"
288,0,1000,0,2,311,2,3,2,0,53.05,0,500,"medium",16099.5,"ca","single",28,3,"waiter/waitress",0,1,"west",71198,"m",0,0,3,"doran_rodney"
25,0,1000,0,3,0,2,1,1,0,53.03,0,0,"low",12028.25,"fl","single",22,3,"programmer/developer",0,0,"south",57313,"m",0,0,3,"zapata_vicente"
25,0,1500,1,2,5311,6,1,4,2000,59.09,2000,5390,"medium",18770.5,"ca","divorced",30,5,"clerical",1,1,"west",73082,"f",1,1,5,"duarte_jinny"
362,0,1000,0,6,370,1,1,1,0,53.09,0,0,"low",10871.5,"ny","single",24,3,"programmer/developer",0,1,"northeast",71886,"m",1,0,3,"craven_steven"
25,0,600,1,0,0,4,1,1,774,53.5,774,0,"high",22541.5,"ny","married",64,3,"prof-12",1,1,"northeast",62566,"m",1,0,3,"roper_ambrose"
74,16579,1000,1,3,16861,3,1,2,600,53.24,600,450,"medium",20377,"mi","single",24,3,"programmer/developer",1,1,"midwest",69908,"m",1,0,3,"kimble_jeff"
25,0,1000,1,0,0,0,1,0,170,53.06,170,0,"high",24206,"ny","single",19,3,"technical writer",1,1,"northeast",67224,"m",0,0,3,"jennings_randall"
167,0,1000,2,4,646,4,1,3,1100,53.39,1100,700,"high",28399.5,"ny","married",28,3,"programmer/developer",2,1,"northeast",60398,"m",1,1,3,"pulliam_hector"
154,0,1000,1,2,944,3,1,1,400,53.37,2000,2300,"high",23881.5,"ny","divorced",51,1,"it staff",1,1,"northeast",61126,"m",1,0,1,"dunn_colton"
47,0,600,1,1,280,4,1,2,650,53.41,650,540,"medium",20495.5,"ny","single",34,3,"programmer/developer",1,1,"northeast",66382,"m",1,1,3,"walls_clyde"
1382,0,500,1,8,1636,3,1,2,1500,53.32,1500,501,"high",22689,"ut","married",35,1,"truck driver",1,1,"southwest",62756,"m",1,0,1,"corley_danial"
429,0,1000,0,4,451,2,1,2,0,53.13,0,500,"medium",15775.5,"fl","single",28,1,"programmer/developer",0,1,"south",57902,"f",0,0,1,"ballard_tandra"
25,0,1000,1,3,311,4,1,2,550,53.48,550,300,"medium",20291.75,"ny","single",25,5,"dentist",1,1,"northeast",61167,"f",0,1,5,"zuniga_elouise"
542,0,2500,1,1,1416,4,1,1,1000,53.42,2000,3000,"high",23843.75,"ny","divorced",28,1,"prof-54",1,1,"northeast",50175,"f",0,0,1,"mosher_sasha"
25,0,1500,1,2,0,1,1,0,350,53.07,350,0,"high",25095.75,"ny","single",21,3,"sales representative",1,1,"northeast",69983,"m",0,0,3,"hartman_boyd"
25,0,700,0,2,360,2,1,1,0,52.94,0,0,"low",12218,"mi","single",39,5,"programmer/developer",0,1,"midwest",63272,"f",0,0,5,"kelsey_thea"
25,0,1000,0,9,268,3,1,3,0,53.22,0,700,"low",13127.5,"ca","single",27,3,"programmer/developer",0,1,"west",59710,"m",0,1,3,"wilcox_lionel"
25,0,1000,1,7,0,4,1,2,250,53.39,250,650,"high",23548.5,"ny","single",20,3,"programmer/developer",1,1,"northeast",64194,"m",0,0,3,"cooley_jude"
55,108,1500,2,2,328,2,1,2,1500,52.76,1500,600,"high",29957,"nc","married",21,3,"prof-37",2,1,"south",69428,"m",1,0,3,"romero_stacy"
1281,0,1500,1,2,2040,5,6,4,2000,54.35,2000,8000,"medium",19583.75,"ny","divorced",30,3,"administrator",1,1,"northeast",64335,"m",1,1,3,"fisher_oswaldo"
3811,0,1500,1,14,6840,4,1,1,1500,53.94,1500,2500,"high",22461.25,"nv","married",27,3,"not specified",1,1,"southwest",57045,"m",0,0,3,"cameron_lawrence"
25,0,1000,0,1,0,0,1,0,0,53.06,0,0,"low",12630,"ca","single",22,3,"prof-30",0,0,"west",59720,"m",0,0,3,"conner_dewey"
25,0,1500,1,12,224,4,1,2,1500,53.53,1500,500,"high",22571.25,"ny","married",21,3,"prof-26",1,1,"northeast",59885,"m",0,0,3,"liles_roman"
25,0,1500,1,15,829,5,1,3,2184,54.17,2184,1700,"medium",16590.75,"mi","divorced",48,6,"author",1,1,"midwest",67163,"m",1,0,4,"austin_antonio"
25,0,600,0,0,0,0,1,2,0,53.06,0,250,"medium",15284.5,"fl","single",31,3,"programmer/developer",0,0,"south",66738,"m",0,0,3,"simon_cornelius"
25,0,1500,1,1,245,3,3,2,1500,53.35,1500,250,"high",29350.25,"ny","married",25,1,"first-line manager",1,1,"northeast",73401,"m",0,0,1,"reagan_wilmer"
